出版社,年級,學期,冊次,課次,均一知識樹slug,均一知識樹URL,均一現有label,WordGym label,WordGym URL (GCS),全課複習 anchor
翰林,七年級,114一上,B1,U1,h-j-114-vocab-b1-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b1/h-j-114-vocab-b1-u1,H-J-114B1U1,HL_B1_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U1#/,#topic-page-anchor-h-j-114-vocab-b1-u1-s2
翰林,七年級,114一上,B1,U2,h-j-114-vocab-b1-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b1/h-j-114-vocab-b1-u2,H-J-114B1U2,HL_B1_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U2#/,#topic-page-anchor-h-j-114-vocab-b1-u2-s2
翰林,七年級,114一上,B1,U3,h-j-114-vocab-b1-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b1/h-j-114-vocab-b1-u3,H-J-114B1U3,HL_B1_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U3#/,#topic-page-anchor-h-j-114-vocab-b1-u3-s2
翰林,七年級,114一上,B1,U4,h-j-114-vocab-b1-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b1/h-j-114-vocab-b1-u4,H-J-114B1U4,HL_B1_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U4#/,#topic-page-anchor-h-j-114-vocab-b1-u4-s2
翰林,七年級,114一上,B1,U5,h-j-114-vocab-b1-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b1/h-j-114-vocab-b1-u5,H-J-114B1U5,HL_B1_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U5#/,#topic-page-anchor-h-j-114-vocab-b1-u5-s2
翰林,七年級,114一上,B1,U6,h-j-114-vocab-b1-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b1/h-j-114-vocab-b1-u6,H-J-114B1U6,HL_B1_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B1_U6#/,#topic-page-anchor-h-j-114-vocab-b1-u6-s2
翰林,七年級,114一下,B2,U1,h-j-114-vocab-b2-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b2/h-j-114-vocab-b2-u1,H-J-114B2U1,HL_B2_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U1#/,#topic-page-anchor-h-j-114-vocab-b2-u1-s2
翰林,七年級,114一下,B2,U2,h-j-114-vocab-b2-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b2/h-j-114-vocab-b2-u2,H-J-114B2U2,HL_B2_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U2#/,#topic-page-anchor-h-j-114-vocab-b2-u2-s2
翰林,七年級,114一下,B2,U3,h-j-114-vocab-b2-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b2/h-j-114-vocab-b2-u3,H-J-114B2U3,HL_B2_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U3#/,#topic-page-anchor-h-j-114-vocab-b2-u3-s2
翰林,七年級,114一下,B2,U4,h-j-114-vocab-b2-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b2/h-j-114-vocab-b2-u4,H-J-114B2U4,HL_B2_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U4#/,#topic-page-anchor-h-j-114-vocab-b2-u4-s2
