出版社,冊次,課次,Label,GCS 連結,GitHub Pages 連結
康軒,B1,U1,KH_B1_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B1_U1
康軒,B1,U2,KH_B1_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B1_U2
康軒,B1,U3,KH_B1_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B1_U3
康軒,B1,U4,KH_B1_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B1_U4
康軒,B1,U5,KH_B1_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B1_U5
康軒,B1,U6,KH_B1_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B1_U6
康軒,B2,U1,KH_B2_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B2_U1
康軒,B2,U2,KH_B2_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B2_U2
康軒,B2,U3,KH_B2_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B2_U3
康軒,B2,U4,KH_B2_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B2_U4
康軒,B2,U5,KH_B2_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B2_U5
康軒,B2,U6,KH_B2_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B2_U6
康軒,B3,U1,KH_B3_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B3_U1
康軒,B3,U2,KH_B3_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=KH_B3_U2
