stage,textbook_index,exam_tags,level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,例句3,翻譯3,例句4,翻譯4,例句5,翻譯5,Year_1,Part_1,Source_1,詞性,詞形變化,搭配詞,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子,videoUrl
高中,三民-B2-U1,,L4,B1,,transportation,[ˏtrænspɚ`teʃən],交通運輸(系統),"Common forms of public transportation in Taiwan include buses, trains, and the HSR. They allow people to travel from place to place conveniently.",臺灣常見的大眾交通運輸包含公車、火車和高鐵。它們讓人們可以便利地來往各地。,,,,,,,,,,,,(n.),,,"transfer, transport, transit",,,,,,,,
高中,三民-B2-U1,,L3,B1,,transport,[ˏtræns`port],運輸，運送,"Shortly after the serious car accident, the old woman with a broken leg was transported to the nearest hospital.",這場嚴重的車禍發生不久，這位腳骨折的老婦人就被運送至最近的醫院。,,,,,,,,,,,,(v.),,,"delight, channel, carry, transfer",,,"trans- (across, beyond (跨越))",,port (to carry (攜帶)),,,
高中,三民-B2-U1,,L2,A2,,project,[`prɑdʒɛkt],專案，計畫,The scientists hired by the government are working on a project to reduce pollution in the river.,這些受政府雇用的科學家正致力於一項降低河川汙染的計畫。,,,,,,,,,,,,(n.),v.過去式：projected；過去分詞：projected；現在分詞：projecting | n.複數：projects,work on/carry out/set up a project,"cast, fancy, see, figure",,,,,,,,
高中,三民-B2-U1,,,,,subway,[`sʌbˏwe],地鐵,"To avoid getting stuck in traffic, Lillian took the subway instead of driving.",為避免被困在車陣中，Lillian搭乘了地鐵而非開車。,,,,,,,,,,,,(n.),,take/ride the subway,,,,,,,,,
高中,三民-B2-U1,,L2,B1,,system,[`sɪstəm],系統,"The central air conditioning system is broken, and the whole building is extremely hot.",現在中央空調系統故障，整棟大樓都非常地熱。,,,,,,,,,,,,(n.),n.複數：systems,,"organization, unit",,,,,,,,
高中,三民-B2-U1,,L2,B1,,system,[`sɪstəm],方式，制度,The country just introduced a new healthcare system that aims to help poor people receive better medical treatment.,該國家剛引進一套新的醫療保健制度，目的在幫助窮人獲得更好的醫療照護。,,,,,,,,,,,,(n.),n.複數：systems,introduce/create/develop a system,"organization, unit",,,,,,,,
高中,三民-B2-U1,,L5,,,explore,[ɪk`splor],探索，勘探,The sailors explored the island carefully for the buried treasure marked on the map.,水手們小心翼翼地探索這座島嶼，為的就是標示在地圖上埋藏的寶藏。,,,,,,,,,,,,(v.),v.過去式：explored；過去分詞：explored；現在分詞：exploring,explore something (for something),,,,,,,,,
高中,三民-B2-U1,,L5,,,explore,[ɪk`splor],探究，探討,The owner began to explore the possibility of opening another restaurant since his first one was very successful.,這位業者開始探究開設另一間餐廳的可能性，因為第一間餐廳十分成功。,,,,,,,,,,,,,,,,,,,,,,,
高中,三民-B2-U1,,,,,exploration,[ˏɛksplə`reʃən],探索，探究,It is impossible to make a full exploration of the universe.,想要探索全宇宙是不可能的。,,,,,,,,,,,,(n.),,an exploration of something,,,,,,,,,
高中,三民-B2-U1,,L2,A2,,century,[`sɛntʃərɪ],世紀,The Wright brothers made history when they invented the first aircraft in the early 20th century.,萊特兄弟在二十世紀初發明了第一架飛機，締造了歷史。,,,,,,,,,,,,(n.),n.複數：centuries,the early/mid/late . . . century,hundred,,,,,cent (hundred (百)),,,
高中,三民-B2-U1,,L3,B2,,trace,[tres],追溯，追查起因,The origin of life on Earth can be traced back to the ocean more than three billion years ago.,地球上生命的起源可追溯至三十億多年前的海洋。,,,,,,,,,,,,(v.),,trace something (back) to something,"draw, line, touch, outline",,,,,,,,
高中,三民-B2-U1,,L3,B2,,trace,[tres],找到，查出,"Although Mr. Gray’s son had been missing for more than two years, he never gave up hope of tracing his location.",縱使Gray先生的兒子已失蹤兩年多了，他仍不放棄找出兒子下落的希望。,,,,,,,,,,,,(v.),,,"draw, line, touch, outline",,,,,,,,
高中,三民-B2-U1,,L3,B2,,trace,[tres],蹤跡，痕跡,The smart fox broke loose from the trap and escaped without leaving a trace. It would be hard to catch it again in the big forest.,這隻聰明的狐狸從陷阱中掙脫沒留下一絲蹤跡。想要再從這一大片森林裡抓到牠可不容易。,,,,,,,,,,,,(n.),,,"draw, line, touch, outline",,,,,,,,
高中,三民-B2-U1,,L3,B2,,unique,[ju`nik],獨特的，與眾不同的,"Each person has his or her own unique fingerprints, and therefore
they can be used to identify criminals.",每個人都有其獨特的指紋，因此它們可以被用來辨識罪犯。,,,,,,,,,,,,(adj.),,,"singular, alone",,,,,,,,
高中,三民-B2-U1,,L3,B1,,attitude,[`ætətjud],態度，看法,Kyle needs to take a more serious attitude toward studying if he wishes to improve his grades.,這位前總統參與國慶日慶典，以展現他對國家的熱愛。,,,,,,,,,,,,(n.),n.複數：attitudes,an attitude toward/to . . .,"position, posture",,,,,,,,
高中,三民-B2-U1,,L2,A2,,guide,[gaɪd],導遊，嚮導,"The lake is located deep in the mountains, and travelers may get lost without a guide.",這座湖位處深山，若沒有導遊相伴，旅客可能會迷路。,,,,,,,,,,,,(n.),,,"conduct, lead, direct, head",,,,,,,,
高中,三民-B2-U1,,L2,A2,,guide,[gaɪd],給…領路，指引,The staff used a flashlight to guide the audience to their seats in the dark theater.,工作人員用手電筒指引觀眾在黑暗的戲院裡入座。,,,,,,,,,,,,(v.),,guide someone to/through something,"conduct, lead, direct, head",,,,,,,,
高中,三民-B2-U1,,L2,A2,,jam,[dʒæm],使擠滿，使動彈不得,The fancy all-you-can-eat restaurant is always jammed with diners on weekends.,這間豪華的吃到飽餐廳在週末總是擠滿了用餐人潮。,,,,,,,,,,,,(v.),,be jammed (up) with . . .,"crush, block, hole, press",free,,,,,,,
高中,三民-B2-U1,,L2,A2,,jam,[dʒæm],堵塞，擁擠,A serious car accident late at night caused a long traffic jam on the highway.,深夜一場嚴重的車禍造成了路上交通堵塞。,,,,,,,,,,,,(n.),,,"crush, block, hole, press",free,,,,,,,
高中,三民-B2-U1,,L3,B1,,tunnel,[`tʌnḷ],隧道，地道,"Thanks to the Hsuehshan Tunnel, traveling between Taipei and Yilan has become much easier and faster.",幸虧有雪山隧道，往返臺北和宜蘭已變得容易和快速許多。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L3,,,drip,[drɪp],滴下，滴落,The tap needs to be repaired. It keeps dripping.,這水龍頭需要修理。它一直在滴水。,,,,,,,,,,,,(v.),,,,,,,,,,,
高中,三民-B2-U1,,L3,,,drip,[drɪp],水滴，滴液,William collected the drips of the strange liquid in the test tube to find out what it really was.,從試管中收集了幾滴奇怪的液體來查明它到底是什麼。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L2,B2,,propose,[prə`poz],提議，建議,Some student groups proposed lowering the voting age from twenty to eighteen to allow more young people to vote.,有些學生團體提議將投票年齡從二十歲降低至十八歲來讓更多年輕人投票。,,,,,,,,,,,,(v.),v.過去式：proposed；過去分詞：proposed；現在分詞：proposing,propose doing something,"project, purpose, advise, suggest",,,,,,,,
高中,三民-B2-U1,,L4,B2,,proposal,[prə`pozḷ],提案，計畫,"The government accepted a proposal to build a sports center, so the villagers could have a place to exercise.",政府接受了一項興建運動中心的提案，來讓村民們有地方可以運動。,,,,,,,,,,,,(n.),n.複數：proposals,accept/reject a proposal,,,,,-al² (noun) (act/result; process (行為／結果；過程)),,,,
高中,三民-B2-U1,,L2,B1,,mile,[maɪl],英里,"We’re running out of fuel, but the nearest gas station is twenty miles away.",我們的燃料快用盡了，但最近的加油站還有20英里遠。,,,,,,,,,,,,(n.),n.複數：miles,,knot,,,,,,,,
高中,三民-B2-U1,,,,,construction,[kən`strʌkʃən],建設，建造,"The new department store is under construction, and it is scheduled to be completed by next September.",這家新的百貨公司正在建造中，預計於明年九月完工。,,,,,,,,,,,,(n.),,under construction,,,,,,,,,
高中,三民-B2-U1,,L4,B2,,construct,[kən`strʌkt],建造，構築,"Since Northern Europe is rich in wood resources, many buildings there are constructed of wood rather than bricks.",由於北歐富含木材資源，在那裡許多建築物都是由木頭建造而非磚瓦。,,,,,,,,,,,,(v.),v.過去式：constructed；過去分詞：constructed；現在分詞：constructing | n.複數：constructs,construct something of/from/in something,"expression, twist, structure, building",,,,,struct (to build (建造)),,,
高中,三民-B2-U1,,L2,B1,,accept,[ək`sɛpt],接受,"I accepted Cynthia’s offer to pay for my movie ticket, and I treated her to a tub of popcorn in return.",我接受了Cynthia替我付電影票錢的提議，並請她一桶爆米花作為回報。,,,,,,,,,,,,(v.),v.過去式：accepted；過去分詞：accepted；現在分詞：accepting,accept an offer/invitation,"have, take, admit, consent","decline, reject, refuse",except,,,"cap/cept (take, hold (拿、持有))",,,
高中,三民-B2-U1,,L3,B1,,acceptable,[ək`sɛptəbḷ],可以接受的,It is acceptable for students in this school to wear makeup and choose their hairstyles.,在這所學校，學生化妝和自由選擇髮型是可被接受的。,,,,,,,,,,,,(adj.),adj.比較級：more acceptable；最高級：most acceptable,be acceptable (for someone) to do something,"good, standard, fit, satisfactory",,,,,,,,
高中,三民-B2-U1,,L3,B2,,horn,[hɔrn],(車輛的) 喇叭,"As soon as the traffic light turned green, the impatient driver sounded his horn to get the car ahead to move.",當紅綠燈一變成綠燈，那位不耐煩的駕駛便按喇叭叫前方的車子移動。,,,,,,,,,,,,(n.),n.複數：horns,sound/blow/honk one’s horn,trumpet,,,,,,,,
高中,三民-B2-U1,,L2,B1,,track,[træk],鐵軌，軌道,The workers are replacing the tracks of the railroad which were badly damaged during the earthquake.,工人們正在更換在地震期間鐵路上嚴重受損的軌道。,,,,,,,,,,,,(n.),,,"lead, cover, cross, course",,,,,,,,
高中,三民-B2-U1,,L2,B1,,track,[træk],小徑，小道,The hunter followed the deer through a track in the forest and waited for a chance to shoot it down.,這名獵人跟隨著鹿越過一條森林小徑，並等待機會射殺牠。,,,,,,,,,,,,(n.),,,"lead, cover, cross, course",,,,,,,,
高中,三民-B2-U1,,L2,B1,,track,[træk],追蹤，跟蹤,An escaped prisoner who had been on the run for two months was finally tracked down by the police.,一名已潛逃兩個月的犯人終於受警方追緝到案。,,,,,,,,,,,,(v.),,,"lead, cover, cross, course",,,,,,,,
高中,三民-B2-U1,,L6,C2,,revive,[rɪ`vaɪv],使復甦，使復原,The city council hopes to revive the old market by adding new shops and events.,市議會希望透過增加新商店和活動來振興舊市場。,,,,,,,,,,,,(v.),v.過去式：revived；過去分詞：revived；現在分詞：reviving,,animate,,,,,,,,
高中,三民-B2-U1,,,,,New York City,[`nju ˏjɔrk `sɪtɪ],紐約市,Many tourists dream of visiting New York City to see Times Square and the Statue of Liberty.,許多遊客夢想造訪紐約市，去看看時代廣場和自由女神像。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,,,,Cincinnati,[ˏsɪnsə`nætɪ],辛辛那提市,"Cincinnati is a major city in Ohio, known for its beautiful riverfront and historic architecture.",辛辛那提是俄亥俄州的一個主要城市，以其美麗的河濱和歷史建築而聞名。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,,,,Cincinnatian,[ˏsɪnsə`nætɪən],辛辛那提人,"As a proud Cincinnatian, she enjoys cheering for the local baseball team every season.",作為一個驕傲的辛辛那提人，她每個賽季都喜歡為當地棒球隊加油。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L4,B1,,option,[`ɑpʃən],選擇,Students have the option to choose between several elective courses next semester.,學生下學期有幾門選修課可以選擇。,,,,,,,,,,,,(n.),n.複數：options,,"alternative, choice",,,,,,,,
高中,三民-B2-U1,,,,,rush hour,[`rʌʃ ˏaᴜr],交通尖峰時間,It's best to avoid driving through the city center during rush hour to save time.,為了節省時間，最好避開在交通尖峰時間開車經過市中心。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L5,,,commuter,[kə`mjutɚ],通勤者,Many commuters prefer taking the train instead of driving to work to avoid traffic jams.,許多通勤者喜歡搭火車而不是開車上班，以避免塞車。,,,,,,,,,,,,(n.),n.複數：commuters,,,,,,,,,,
高中,三民-B2-U1,,L5,C1,,commute,[kə`mjut],通勤,He has to commute for over an hour every day to get to his office in the city.,他每天必須通勤一個多小時才能到達市區的辦公室。,,,,,,,,,,,,(v.),v.過去式：commuted；過去分詞：commuted；現在分詞：commuting | n.複數：commutes,,"convert, change, exchange",,,,,,,,
高中,三民-B2-U1,,,,,streetcar,[`stritkɑr],路面電車,The new streetcar line makes it much easier for people to travel around the downtown area.,新的路面電車線讓大家在市區周圍旅行更加方便。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L5,A1,,tick,[tɪk],(鐘錶的) 滴答聲,"In the quiet room, the only sound she could hear was the soft tick of the old grandfather clock.",在安靜的房間裡，她唯一能聽到的聲音是那座老爺鐘輕柔的滴答聲。,,,,,,,,,,,,(n.),,,"beat, click",,,,,,,,
高中,三民-B2-U1,,,,,graffiti,[grə`fiti],(尤指在公共場所的牆上等處的) 塗鴉，圖畫,"Some people consider graffiti a form of art, while others see it as vandalism on public property.",有些人認為塗鴉是一種藝術形式，而另一些人則將其視為對公共財產的破壞。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L4,B2,,inflation,[ɪn`fleʃən],通貨膨脹,"Due to inflation, the price of everyday goods has increased significantly over the past year.",由於通貨膨脹，日常用品的價格在過去一年中顯著上漲。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,L5,C1,,mode,[mod],方式,"Choosing the right mode of transportation, like a bike or bus, can save you time and money.",選擇正確的交通方式，例如自行車或公車，可以為你節省時間和金錢。,,,,,,,,,,,,(n.),n.複數：modes,,"style, mood, way, fashion",,,,,,,,
高中,三民-B2-U1,,,,,white elephant,[ˏhwaɪt `ɛləfənt],華而不實的物品,"The new stadium turned out to be a white elephant, as it was rarely used after its grand opening.",新體育場結果變成了一個華而不實的物品，因為它在盛大開幕後很少被使用。,,,,,,,,,,,,(n.),,,,,,,,,,,
高中,三民-B2-U1,,,,,frozen in time,,凝藏於時光中,Emma’ childhood bedroom seems frozen in time; her parents have kept it the same since she went to college twenty years ago.,Emma的房間似乎凝藏於時光中；她的父母自她二十年前去讀大學後就一直將它保持原樣。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,ups and downs,,盛衰，起落,"Life is a journey filled with ups and downs, but every challenge makes us stronger.",生命是趟充滿起落的旅程，但每個挑戰都讓我們更為堅強。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,boiling hot,,炙熱的，炎熱的,"Because the power was out all night, we couldn’t fall asleep during the boiling hot summer night.",因為整晚停電，我們在這炎熱的夏天晚上根本無法入睡。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,turn . . . into . .,,使…變得，使…成為,Rumor has it that the unused subway station will be turned into a museum.,有傳言稱這閒置的地鐵站將要改建成博物館。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,look for . . .,,努力尋找…,Mr. and Mrs. Wu have been looking for a bigger apartment since their third child was born.,自從吳先生和吳太太的第三個孩子出生，他們就一直努力在尋找一間更大的公寓。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,follow in one’s footsteps,,效法某人,"Doctor Wang expects her son to follow in her footsteps. However, he is determined to be a singer.",王醫生期盼她的兒子能效法她也成為一位醫生。然而，他下定決心成為一名歌手。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,pull the plug,,終止，制止 (某事),My father’s company pulled the plug on providing free coffee and snacks for its employees because of budget cuts.,我父親的公司終止提供員工免費的咖啡和點心，因為要節省預算。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U1,,,,,come to an end,,結束,"In the last two minutes before the game came to an end, Alex scored the winning goal, and our school team won the championship.",在比賽結束前的最後兩分鐘，Alex贏得致勝的一分，我們的校隊也贏得了冠軍。,,,,,,,,,,,,(phr.),,,,,,,,,,,
高中,三民-B2-U2,,L2,B2,,conflict,[`kɑnflɪkt],衝突，爭執,The students are in conflict with the teachers because they have different opinions on the new school rule.,這群學生和老師們發生衝突，因為他們對新校規意見相左。,,,,,,,,,,,,(n.),,in conflict (with someone),"dispute, struggle, battle, fight",,,,,,,,
高中,三民-B2-U2,,L2,B2,,conflict,[`kɑnflɪkt],分歧,The company is facing a labor conflict with its employees over wages and benefits.,該公司正面臨與員工之間關於薪資和福利的勞資分歧。,,,,,,,,,,,,(n.),,,"dispute, struggle, battle, fight",,,,,,,,
高中,三民-B2-U2,,L2,B2,,conflict,[kən`flɪkt],衝突，抵觸,"Ryan’s report about the killer conflicted with mine. His report said the killer was a grown man, but mine said the killer was a teenager.",Ryan關於這位兇手的報告與我的相抵觸。他的報告說到這位兇手是一位成年人，但我的報告談到他是一名青少年。,,,,,,,,,,,,(v.),,conflict with something,"dispute, struggle, battle, fight",,,,,,,,
高中,三民-B2-U2,,,,,argument,[`ɑrgjəmənt],爭吵，爭執,I can never win an argument with Alice about art because she knows more about it than I do.,我永遠無法在關於藝術的爭論中贏過Alice，因為她對藝術的了解比我多。,,,,,,,,,,,,(n.),,win/lose an argument,,,,,,,,,
高中,三民-B2-U2,,,,,argue,[`ɑrgjᴜ],爭吵，爭論,"Linda and her husband never argue about money, so they have a happy marriage.",Linda和她的丈夫從不為錢爭吵，所以他們婚姻幸福美滿。,,,,,,,,,,,,(v.),v.過去式：argued；過去分詞：argued；現在分詞：arguing,argue about/over something,,,,,,,,,
高中,三民-B2-U2,,L2,B1,,decision,[dɪ`sɪʒən],決定，判斷,"After Peter asked his parents for their opinions, he made the decision to move out.",在Peter徵求父母的意見後，他決定要搬出去。,,,,,,,,,,,,(n.),n.複數：decisions,make/reach a decision,"determination, conclusion",,,,-sion (state or action (狀態或行動)),,,,
高中,三民-B2-U2,,L2,B2,,debate,[dɪ`bet],辯論，討論,There is a heated debate about the best age to start learning a second language.,關於開始學習第二語言的最佳年齡存在激烈的辯論。,,,,,,,,,,,,(n.),,a heated/fierce debate,"deliberate, contend, consider, fence",,,,,,,,
高中,三民-B2-U2,,L2,B2,,debate,[dɪ`bet],(尤指正式地) 辯論，討論,The teachers have been debating whether students should wear uniforms to school.,老師們不斷地在討論學生是否應該穿著制服上學。,,,,,,,,,,,,(v.),,debate whether/what/how . . .,"deliberate, contend, consider, fence",,,,,,,,
高中,三民-B2-U2,,L2,B1,,handle,[`hændḷ],應付，處理,I believe that Darren can handle the problem very well. Just let him take care of it.,我相信Darren能夠好好地處理這個問題。就讓他來處理吧。,,,,,,,,,,,,(v.),,,"address, work, hold, cover",,,,,,,,
高中,三民-B2-U2,,L2,B1,,handle,[`hændḷ],把手，柄,"Sabrina turned the handle and entered her brother’s room without knocking first, so he got mad at her.",Sabrina沒有先敲門就轉動門把進入她哥哥的房間，所以他對她很生氣。,,,,,,,,,,,,(n.),,turn/pull/push a handle,"address, work, hold, cover",,,,,,,,
高中,三民-B2-U2,,,,,disagreement,[ˏdɪsə`grimənt],意見不合,"After two hours of discussion, the students still have disagreements about the topic of their science project.",經過兩個小時的討論，學生們仍然對他們科學專題的主題意見不合。,,,,,,,,,,,,(n.),,have a disagreement,,,,,,,,,
高中,三民-B2-U2,,,,,disagree,[ˏdɪsə`gri],意見不合,"Jackie was always rude to people who disagreed with her, so she made a lot of enemies.",Jackie總是對那些與她意見不合的人很無理，所以她樹立了很多敵人。,,,,,,,,,,,,(v.),v.過去式：disagreed；過去分詞：disagreed；現在分詞：disagreeing,disagree with someone,,,,,,,,,
高中,三民-B2-U2,,L2,B2,,sensitive,[`sɛnsətɪv],敏感的，需審慎處理的,Politics is a sensitive issue that should be avoided when you talk to someone for the first time.,政治是一個敏感的話題，第一次與人交談時應避免。,,,,,,,,,,,,(adj.),,,"tender, delicate, sensible, sore",,,,-ive (having the quality of; tending to (具有…特質的；傾向於…)),,,,
高中,三民-B2-U2,,L2,B2,,sensitive,[`sɛnsətɪv],體貼的，善解人意的,Wendy is sensitive to other people’s feelings and often helps them with their problems.,Wendy對他人的感受很敏感，並常常幫助他們解決問題。,,,,,,,,,,,,(adj.),,be sensitive to something,"tender, delicate, sensible, sore",,,,-ive (having the quality of; tending to (具有…特質的；傾向於…)),,,,
高中,三民-B2-U2,,L3,B1,,remain,[rɪ`men],保持不變，依然是,Jeff remained in the car while his girlfriend went to get some food at the convenience store.,Jeff留在車裡，而他的女朋友到便利商店添購一些食物。,,,,,,,,,,,,(v.),v.過去式：remained；過去分詞：remained；現在分詞：remaining,remain in/as/with . . .,"persist, rest, stay, continue",change,,,,,,,
高中,三民-B2-U2,,L2,B1,,couple,[`kʌpḷ],夫妻，情侶,The young couple held hands as they walked along the beach.,這對年輕夫妻手牽手沿著海灘散步。,,,,,,,,,,,,(n.),,a young/married/childless couple,"span, mate, brace, match",,,,,,,,
高中,三民-B2-U2,,L2,B1,,couple,[`kʌpḷ],兩個，幾個,"When I was walking on the street, a reporter asked me a couple of questions about recent social events.",我走在街上時，一位記者問了我一些關於近期社會事件的問題。,,,,,,,,,,,,(n.),,a couple of . . .,"span, mate, brace, match",,,,,,,,
高中,三民-B2-U2,,L2,B1,,attempt,[ə`tɛmpt],試圖，嘗試,Charlie attempted to work out the answer to this difficult math problem all by himself.,Charlie試圖獨自找出這道數學難題的解答。,,,,,,,,,,,,(v.),,attempt to do something,"endeavor, effort, undertake, seek",,,,,,,,
高中,三民-B2-U2,,L2,B1,,attempt,[ə`tɛmpt],試圖，嘗試,Calvin made several attempts to make friends at school but never succeeded.,Calvin曾多次嘗試在學校交新朋友，但從未成功。,,,,,,,,,,,,(n.),,make an attempt,"endeavor, effort, undertake, seek",,,,,,,,
高中,三民-B2-U2,,L4,B1,,convince,[kən`vɪns],說服，使相信,The salesperson tried to convince the customers of the safety of his company’s products.,這位銷售人員試圖說服顧客他所屬公司產品的安全性。,,,,,,,,,,,,(v.),v.過去式：convinced；過去分詞：convinced；現在分詞：convincing,convince someone of something,"convert, turn",,,,,,,,
高中,三民-B2-U2,,L4,B1,,defend,[dɪ`fɛnd],捍衛，保護,The lioness defended her cubs against a pack of wild dogs.,母獅捍衛她的幼崽免於一群野狗的攻擊。,,,,,,,,,,,,(v.),v.過去式：defended；過去分詞：defended；現在分詞：defending,defend . . . against/from . . .,"support, champion, hold, represent","attack, prosecute",,,,,,,
高中,三民-B2-U2,,L2,B1,,position,[pə`zɪʃən],立場，態度,The new mayor had a different position on the healthcare system in the city and decided to make some changes to it.,新市長對該市的醫療保健制度持不同的立場，並決定對其進行一些改變。,,,,,,,,,,,,(n.),,a position on something,"set, perspective, view, pose",,,,,,,,
高中,三民-B2-U2,,L2,B1,,position,[pə`zɪʃən],姿勢，位置,The dog jumped onto the sofa and lay down in a comfortable position.,狗狗跳到沙發上並以舒適的姿勢趴下。,,,,,,,,,,,,(n.),,in a . . . position,"set, perspective, view, pose",,,,,,,,
