stage,textbook_index,exam_tags,level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,例句3,翻譯3,例句4,翻譯4,例句5,翻譯5,Year_1,Part_1,Source_1,詞性,詞形變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子,videoUrl
國中,,,,,1200-節日與慶典,Christmas,/ˋkrɪsməs/,耶誕節,We decorated the house for Christmas.,我們為了耶誕節裝飾了房子。,,,,,,,,,,,,(n.),,,,,,,,,,,Pj9G4wqMPMQ
國中,,,,,1200-節日與慶典,Easter,[`istər],復活節,We painted eggs for Easter.,我們為復活節彩繪雞蛋。,,,,,,,,,,,,(n.),,,,,,,,,,,Pj9G4wqMPMQ
國中,,,,,1200-節日與慶典,Halloween,/͵hæloˋin/,萬聖節,Kids dress up for Halloween.,孩子們為萬聖節盛裝打扮。,,,,,,,,,,,,(n.),,,,,,,,,,,Pj9G4wqMPMQ
國中,,,B1,,1200-節日與慶典,festival,/ˋfɛstəv!/,節慶,We celebrate the Spring Festival with our family.,我們與家人一起慶祝春節。,,,,,,,,,,,,(n.),n.複數：festivals,,,,,,,,,,Pj9G4wqMPMQ
國中,,,A1,,1200-節日與慶典,holiday,/ˋhɑlə͵de/,假日,We are going on vacation during the holiday.,我們將在假期出遊。,,,,,,,,,,,,(n.),,,,,,,,,,,Pj9G4wqMPMQ
國中,,,A1,,1200-節日與慶典,vacation,/veˋkeʃən/,假期,We’re planning a vacation to Hawaii.,我們計劃去夏威夷度假。,,,,,,,,,,,,(n.),,,,,,,,,,,Pj9G4wqMPMQ
國中,,,B1,,1200-節日與慶典,celebrate,/ˋsɛlə͵bret/,慶祝,We will celebrate her birthday with a party.,我們將舉辦派對來慶祝她的生日。,,,,,,,,,,,,(v.),v.過去式：celebrated；過去分詞：celebrated；現在分詞：celebrating,,,,,,,,,,Pj9G4wqMPMQ
國中,,,A1,,1200-時間-1,morning,/ˋmɔrnɪŋ/,早上,Good morning!,早上好！,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A2,,1200-時間-1,noon,/nun/,中午,Let’s meet at noon for lunch.,我們中午見面吃午餐吧。,,,,,,,,,,,,(n.),n.複數：noons,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,afternoon,/ˋæftɚˋnun/,下午,Let’s meet in the afternoon.,我們下午見面吧。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,evening,/ˋivnɪŋ/,傍晚,We usually have dinner in the evening.,我們通常在傍晚吃晚餐。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,night,/naɪt/,夜晚,The stars shine brightly at night.,夜晚星星閃耀。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,Monday,/ˋmʌnde/,星期一,I hate Mondays because they start the workweek.,我討厭星期一，因為它們開始了一周的工作。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,Tuesday,/ˋtjuzde/,星期二,We have a meeting every Tuesday.,我們每週二都有會議。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,Wednesday,/ˋwɛnzde/,星期三,We have a meeting every Wednesday.,我們每週三都有會議。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,Thursday,/ˋθɝzde/,星期四,We have a meeting on Thursday.,我們星期四有個會議。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
